"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.08.02 2:15 AM GMT","Road America - Full Course","Advanced Mazda MX-5 Cup Series","2019","3","N/A","8","1433",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","160282","160282","Clifford Ebben","1","1","0","Running","-00.000","10","","2:35.605","2:34.031","3","10","0","90","24","1","29","Midwest","5247","5264","16","431","16","440","Advanced Mazda MX-5 Cup Series","30","0","90"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","334722","334722","Kenneth latter","2","3","0","Running","-01.492","0","","2:35.754","2:33.801","8","10","4","86","22","2","34","Australia/NZ","2656","2704","20","499","20","479","Advanced Mazda MX-5 Cup Series","30","0","86"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","302930","302930","Melina Mann","17","2","0","Running","-10.058","0","","2:36.609","2:34.954","3","10","5","82","20","2","28","Michigan","3104","3134","14","243","14","246","Advanced Mazda MX-5 Cup Series","30","0","82"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","65021","65021","Andrew Cheslock","6","11","0","Running","-10.919","0","","2:36.696","2:35.437","5","10","9","78","18","4","17","Virginias","1534","1601","18","252","18","232","Advanced Mazda MX-5 Cup Series","30","0","78"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","261186","261186","Stephen Cugliari","24","23","0","Running","-19.691","0","","2:37.572","2:35.092","8","10","7","75","16","8","12","New England","821","915","10","210","10","216","Advanced Mazda MX-5 Cup Series","30","0","75"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","338925","338925","Roger Checkley","8","7","0","Running","-28.235","0","","2:38.428","2:35.233","3","10","1","71","14","3","15","Canada","1737","1780","20","444","20","450","Advanced Mazda MX-5 Cup Series","30","0","71"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","25023","25023","Ryan Turcotte","10","6","0","Running","-28.426","0","","2:38.446","2:37.623","5","10","7","67","12","3","12","New England","1919","1947","15","349","15","340","Advanced Mazda MX-5 Cup Series","30","0","67"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","381008","381008","Kris Koepke","12","14","0","Running","-37.577","0","","2:39.361","2:36.971","3","10","5","63","10","6","15","Canada","1289","1334","11","358","11","359","Advanced Mazda MX-5 Cup Series","30","0","63"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","185159","185159","Lawrence Coleman","20","16","0","Running","-40.941","0","","2:39.697","2:36.014","5","10","6","60","8","6","22","Florida","1158","1201","20","468","20","446","Advanced Mazda MX-5 Cup Series","30","0","60"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","244305","244305","Jorge Ruben Perez","4","10","0","Running","-48.156","0","","2:37.960","2:35.285","6","10","13","56","6","4","24","Hispanoam�rica","1584","1601","18","241","18","210","Advanced Mazda MX-5 Cup Series","30","0","56"
