"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.08.02 3:30 AM GMT","Daytona International Speedway - Road Course","Ferrari GT3 Challenge - Fixed","2019","3","N/A","8","1790",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","94","Ferrari 488 GT3","102","Ferrari 488 GT3","328803","328803","Marcelo E Rossetto","2","1","0","Running","-00.000","9","","1:45.064","1:44.427","2","9","2","109","17","2","24","Hispanoamérica","3168","3221","19","354","19","342","Ferrari GT3 Challenge - Fixed","100","0","109"
"2","94","Ferrari 488 GT3","102","Ferrari 488 GT3","203855","203855","Adam Gardner2","1","4","0","Running","-00.068","0","","1:45.072","1:44.118","6","9","4","102","15","3","34","Australia/NZ","2472","2532","20","408","19","356","Ferrari GT3 Challenge - Fixed","100","0","102"
"3","94","Ferrari 488 GT3","102","Ferrari 488 GT3","63957","63957","Robert Elder","4","3","0","Running","-01.865","0","","1:45.271","1:44.141","6","9","4","96","13","2","22","Florida","2642","2686","19","339","19","329","Ferrari GT3 Challenge - Fixed","100","0","96"
"4","94","Ferrari 488 GT3","102","Ferrari 488 GT3","353089","353089","Marcelo Kayro","3","6","0","Running","-06.199","0","","1:45.753","1:44.190","3","9","5","89","11","5","45","Brazil","2139","2187","18","212","18","207","Ferrari GT3 Challenge - Fixed","100","0","89"
"5","94","Ferrari 488 GT3","102","Ferrari 488 GT3","240858","240858","Leo A Miranda","5","2","0","Running","-06.545","0","","1:45.791","1:44.653","8","9","2","83","9","2","45","Brazil","2881","2896","18","212","18","217","Ferrari GT3 Challenge - Fixed","100","0","83"
"6","94","Ferrari 488 GT3","102","Ferrari 488 GT3","31987","31987","Brendan Long","6","7","0","Running","-19.281","0","","1:47.206","1:45.496","3","9","1","76","7","3","14","New York","1719","1760","19","354","19","358","Ferrari GT3 Challenge - Fixed","100","0","76"
"7","94","Ferrari 488 GT3","102","Ferrari 488 GT3","340116","340116","Aidan Fassnacht","7","13","0","Running","-24.360","0","","1:47.770","1:45.006","7","9","6","70","5","8","19","New Jersey","1470","1511","7","342","7","338","Ferrari GT3 Challenge - Fixed","100","0","70"
"8","94","Ferrari 488 GT3","102","Ferrari 488 GT3","315202","315202","Marc Gomes","9","5","0","Running","-24.709","0","","1:45.911","1:45.084","6","9","0","64","3","3","34","Australia/NZ","2408","2404","13","164","13","181","Ferrari GT3 Challenge - Fixed","100","0","64"
"9","94","Ferrari 488 GT3","102","Ferrari 488 GT3","19852","19852","Dave Hogsett","17","11","0","Running","-25.488","0","","1:47.895","1:45.315","7","9","3","57","1","4","17","Virginias","1494","1511","20","473","20","462","Ferrari GT3 Challenge - Fixed","100","0","57"
"10","94","Ferrari 488 GT3","102","Ferrari 488 GT3","145361","145361","Justin Bland","8","8","0","Running","-25.764","0","","1:47.926","1:44.691","8","9","5","51","0","4","22","Florida","1655","1654","18","219","18","213","Ferrari GT3 Challenge - Fixed","100","0","51"
"11","94","Ferrari 488 GT3","102","Ferrari 488 GT3","364528","364528","Ryan Tierney2","16","15","0","Running","-37.821","0","","1:49.265","1:46.686","6","9","3","44","0","5","30","Texas","1430","1429","15","325","15","323","Ferrari GT3 Challenge - Fixed","100","0","44"
"12","94","Ferrari 488 GT3","102","Ferrari 488 GT3","303528","303528","Chris Uglietta","15","9","0","Running","-38.421","0","","1:49.332","1:46.167","6","9","4","38","0","5","30","Texas","1584","1565","14","253","14","253","Ferrari GT3 Challenge - Fixed","100","0","38"
"13","94","Ferrari 488 GT3","102","Ferrari 488 GT3","327613","327613","Gordon Smith2","12","16","0","Running","-44.607","0","","1:50.020","1:47.449","9","9","8","32","0","5","34","Australia/NZ","1291","1274","18","239","18","218","Ferrari GT3 Challenge - Fixed","100","0","32"
"14","94","Ferrari 488 GT3","102","Ferrari 488 GT3","144828","144828","David VELASQUEZ","10","17","32","Disconnected","-1 L","0","","1:47.577","1:45.693","5","8","3","25","0","6","32","West","1287","1259","14","227","14","228","Ferrari GT3 Challenge - Fixed","100","0","25"
"15","94","Ferrari 488 GT3","102","Ferrari 488 GT3","346192","346192","Mark Esho","13","14","32","Disconnected","-4 L","0","","1:46.933","1:46.541","3","5","2","19","0","5","34","Australia/NZ","1441","1395","6","230","6","236","Ferrari GT3 Challenge - Fixed","100","0","19"
"16","94","Ferrari 488 GT3","102","Ferrari 488 GT3","207744","207744","Brian Folchetti","14","12","32","Disconnected","-6 L","0","","1:55.832","1:55.365","2","3","5","12","0","4","22","Florida","1492","1433","10","254","10","246","Ferrari GT3 Challenge - Fixed","100","0","12"
"17","94","Ferrari 488 GT3","102","Ferrari 488 GT3","361652","361652","Art Auman Jr","11","10","32","Disconnected","-8 L","0","","1:55.653","","","1","2","6","0","4","16","Pennsylvania","1530","1458","19","386","19","376","Ferrari GT3 Challenge - Fixed","100","0","6"
"18","94","Ferrari 488 GT3","102","Ferrari 488 GT3","165172","165172","Johnathan Shipman","18","18","32","Disconnected","-8 L","0","","00.000","","","1","1","3","0","6","22","Florida","1272","1200","14","206","14","205","Ferrari GT3 Challenge - Fixed","100","0","3"
