"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.07.31 4:45 PM GMT","Road America - Full Course","IMSA Sportscar Championship","2019","3","N/A","8","3712",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","70","Chevrolet Corvette C7 Daytona Prototype","77","Corvette C7 Daytona Prototype","338306","338306","Jeffrey Lewis5","1","27","0","Running","-00.000","21","","2:02.464","1:58.890","2","23","3","73","2","2","18","Atlantic","2602","2637","20","412","20","423","IMSA Sportscar Championship","60","0","73"
"2","70","Chevrolet Corvette C7 Daytona Prototype","77","Corvette C7 Daytona Prototype","346143","346143","Vincent Boutleux","3","32","0","Running","-34.702","1","","2:03.972","1:59.645","6","23","10","36","0","6","39","France","1525","1530","13","119","13","151","IMSA Sportscar Championship","60","0","36"
"3","102","Porsche 911 RSR","100","GTE Class","37503","37503","Jan Wiechowski","5","4","0","Running","-34.918","0","","2:03.982","2:00.701","3","23","9","306","15","1","46","Central-Eastern Europe","6763","6837","18","223","18","232","IMSA Sportscar Championship","55","0","306"
"4","102","Porsche 911 RSR","100","GTE Class","262023","262023","Alexander Wolters","4","2","0","Running","-38.098","1","","2:04.120","2:00.429","2","23","14","285","13","1","22","Florida","7401","7450","25","151","25","128","IMSA Sportscar Championship","55","0","285"
"5","102","Porsche 911 RSR","100","GTE Class","313695","313695","Sergio Ignacio2","9","7","0","Running","-38.540","0","","2:04.139","2:00.720","2","23","15","265","11","1","38","Iberia","6228","6289","18","268","18","240","IMSA Sportscar Championship","55","0","265"
"6","102","Porsche 911 RSR","100","GTE Class","356762","356762","Dæn Sosulski","8","15","0","Running","-39.762","0","","2:04.192","2:00.671","2","23","11","244","9","1","42","DE-AT-CH","5239","5310","18","285","18","270","IMSA Sportscar Championship","55","0","244"
"7","93","Ferrari 488 GTE","100","GTE Class","35778","35778","Cesar Froener","7","11","0","Running","-41.546","0","","2:04.270","2:00.670","3","23","16","224","7","1","45","Brazil","5545","5597","18","241","18","220","IMSA Sportscar Championship","55","0","224"
"8","109","BMW M8 GTE","100","GTE Class","118444","118444","Renan Azeredo","15","9","0","Running","-42.071","0","","2:04.292","2:01.090","3","23","12","204","5","1","45","Brazil","5979","6008","17","160","17","164","IMSA Sportscar Championship","55","0","204"
"9","102","Porsche 911 RSR","100","GTE Class","213240","213240","Bradlee Haley","13","13","0","Running","-44.466","0","","2:04.397","2:01.488","4","23","8","183","3","1","33","Northwest","5260","5293","19","317","19","318","IMSA Sportscar Championship","55","0","183"
"10","109","BMW M8 GTE","100","GTE Class","258389","258389","Christopher Dambietz","11","5","0","Running","-46.215","0","","2:04.473","2:01.339","5","23","14","163","1","1","42","DE-AT-CH","6463","6457","11","371","11","367","IMSA Sportscar Championship","55","0","163"
