"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.04.27 9:45 AM GMT","Mid-Ohio Sports Car Course - Full Course","Porsche iRacing Cup","2019","2","N/A","7","2191",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","255919","255919","Alexander Thiebe","1","2","0","Running","-00.000","20","","1:23.638","1:23.211","13","20","5","134","19","1","42","DE-AT-CH","7050","7070","27","368","27","350","Porsche iRacing Cup","100","0","134"
"2","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","79614","79614","Ricardo Castro Ledo","2","1","0","Running","-00.508","0","","1:23.663","1:22.876","2","20","0","126","17","1","39","France","8432","8433","27","363","27","384","Porsche iRacing Cup","100","0","126"
"3","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","286284","286284","Joakim Vennström","4","3","0","Running","-22.639","0","","1:24.770","1:24.035","12","20","4","119","15","1","43","Scandinavia","4036","4072","19","350","19","349","Porsche iRacing Cup","100","0","119"
"4","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","95833","95833","Sven Brueckner","3","4","0","Running","-25.275","0","","1:24.902","1:23.960","19","20","6","112","13","1","42","DE-AT-CH","3897","3925","19","350","19","342","Porsche iRacing Cup","100","0","112"
"5","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","59177","59177","Andreas Olsson","5","6","0","Running","-35.323","0","","1:25.404","1:24.493","12","20","1","105","11","2","43","Scandinavia","2964","3002","20","429","20","437","Porsche iRacing Cup","100","0","105"
"6","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","113702","113702","Pawel Glanowski","19","7","0","Running","-35.631","0","","1:25.419","1:24.082","11","20","5","98","9","2","46","Central-Eastern Europe","2826","2857","14","214","14","226","Porsche iRacing Cup","100","0","98"
"7","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","58214","58214","Jakub Strumidlo","12","5","0","Running","-46.819","0","","1:25.979","1:24.751","12","20","10","91","7","2","46","Central-Eastern Europe","3079","3094","14","223","14","223","Porsche iRacing Cup","100","0","91"
"8","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","188949","188949","Seb Talagrand","6","8","0","Running","-52.688","0","","1:26.272","1:24.910","11","20","2","84","5","2","39","France","2652","2667","17","178","17","199","Porsche iRacing Cup","100","0","84"
"9","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","356021","356021","Daniel Montón2","8","15","0","Running","-56.905","0","","1:26.483","1:24.726","13","20","8","77","3","3","38","Iberia","1482","1523","14","236","14","239","Porsche iRacing Cup","100","0","77"
"10","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","307140","307140","Fernando Silvestre Gonzalez","10","12","0","Running","-1:12.258","0","","1:27.251","1:25.806","19","20","6","70","1","3","38","Iberia","1661","1686","20","443","20","429","Porsche iRacing Cup","100","0","70"
"11","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","334248","334248","Ugo Debets","20","13","0","Running","-1:12.377","0","","1:27.256","1:25.672","9","20","7","63","0","5","39","France","1571","1589","14","249","14","253","Porsche iRacing Cup","100","0","63"
"12","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","326839","326839","Vincent Buchel","7","10","0","Running","-1:14.535","0","","1:27.365","1:25.013","12","20","7","56","0","3","42","DE-AT-CH","2220","2208","14","233","14","237","Porsche iRacing Cup","100","0","56"
"13","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","355148","355148","Josef Koenig","15","19","0","Running","-1:24.025","0","","1:27.839","1:26.030","12","20","6","49","0","5","42","DE-AT-CH","1262","1272","10","289","10","299","Porsche iRacing Cup","100","0","49"
"14","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","107204","107204","Iván Sánchez Gallardo","14","18","0","Running","-1 L","0","","1:28.469","1:26.357","11","19","2","42","0","6","38","Iberia","1326","1324","15","316","15","330","Porsche iRacing Cup","100","0","42"
