"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.07.28 5:00 PM GMT","Autódromo José Carlos Pace - Grand Prix","VRS GT Endurance Series","2019","3","N/A","7","2717",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","72","Mercedes AMG GT3","59","GT3 Class","-88160","-88160","WILD ANIMAL RUSSIA USHANKA","3","43","0","Running","-00.000","31","","1:32.161","1:30.976","68","117","20","174","43","0","","","","","","","","","VRS GT Endurance Series","100","0","174"
"1","72","Mercedes AMG GT3","59","GT3 Class","-88160","138514","Artem Grabow","3","43","0","Running","-","31","","1:32.331","1:30.976","68","72","9","174","43","1","46","Central-Eastern Europe","4624","4670","12","448","12","480","VRS GT Endurance Series","100","0","174"
"1","72","Mercedes AMG GT3","59","GT3 Class","-88160","387602","Dmitry Kofanov","3","43","0","Running","-","0","","1:31.893","1:31.103","5","45","11","174","43","2","46","Central-Eastern Europe","2752","2780","15","379","15","383","VRS GT Endurance Series","100","0","174"
"2","72","Mercedes AMG GT3","59","GT3 Class","-88344","-88344","Devotion Simracing Red","1","8","0","Running","-03.593","79","","1:32.163","1:31.007","61","117","18","169","41","0","","","","","","","","","VRS GT Endurance Series","100","0","169"
"2","72","Mercedes AMG GT3","59","GT3 Class","-88344","37921","Tony Repussard","1","8","0","Running","-","79","","1:32.476","1:31.007","61","81","14","169","41","1","39","France","6720","6737","20","471","20","457","VRS GT Endurance Series","100","0","169"
"2","72","Mercedes AMG GT3","59","GT3 Class","-88344","85527","Jerome Haag","1","8","0","Running","-","0","","1:31.440","1:31.083","109","36","4","169","41","1","39","France","5671","5679","19","335","19","355","VRS GT Endurance Series","100","0","169"
"3","73","Audi R8 LMS","59","GT3 Class","-129143","-129143","Glück Auf Simracing #Blue","2","23","0","Running","-1:23.159","0","","1:32.166","1:30.991","2","117","21","165","39","0","","","","","","","","","VRS GT Endurance Series","100","0","165"
"3","73","Audi R8 LMS","59","GT3 Class","-129143","359103","Marco Erdmann","2","23","0","Running","-","0","","1:31.840","1:30.991","2","77","16","165","39","1","42","DE-AT-CH","4268","4319","18","223","18","267","VRS GT Endurance Series","100","0","165"
"3","73","Audi R8 LMS","59","GT3 Class","-129143","374854","Sascha Schneider","2","23","0","Running","-","0","","1:32.801","1:31.850","71","40","5","165","39","6","42","DE-AT-CH","2035","2061","20","499","20","499","VRS GT Endurance Series","100","0","165"
"4","73","Audi R8 LMS","59","GT3 Class","-121758","-121758","BBBStream Endurance Gold","5","22","0","Running","-1:28.263","5","","1:32.189","1:31.023","5","117","21","161","37","0","","","","","","","","","VRS GT Endurance Series","100","0","161"
"4","73","Audi R8 LMS","59","GT3 Class","-121758","342681","Ronald Streicher","5","22","0","Running","-","5","","1:32.202","1:31.435","85","43","2","161","37","2","46","Central-Eastern Europe","3058","3086","20","472","20","492","VRS GT Endurance Series","100","0","161"
"4","73","Audi R8 LMS","59","GT3 Class","-121758","345027","Pavel Mory Moravec","5","22","0","Running","-","0","","1:32.840","1:32.029","104","31","7","161","37","3","46","Central-Eastern Europe","1896","1916","17","170","17","196","VRS GT Endurance Series","100","0","161"
"4","73","Audi R8 LMS","59","GT3 Class","-121758","358783","Adam Pilo","5","22","0","Running","-","0","","1:31.724","1:31.023","5","43","12","161","37","1","46","Central-Eastern Europe","4963","4990","19","361","19","349","VRS GT Endurance Series","100","0","161"
"5","72","Mercedes AMG GT3","59","GT3 Class","-98730","-98730","TT Racing Silver","7","1","0","Running","-1:29.620","0","","1:32.254","1:31.418","113","117","23","157","35","0","","","","","","","","","VRS GT Endurance Series","100","0","157"
"5","72","Mercedes AMG GT3","59","GT3 Class","-98730","126856","Tuan Tran","7","1","0","Running","-","0","","1:32.251","1:31.418","113","72","14","157","35","1","40","Benelux","5165","5184","18","256","18","289","VRS GT Endurance Series","100","0","157"
"5","72","Mercedes AMG GT3","59","GT3 Class","-98730","242335","Andrea Aymon","7","1","0","Running","-","0","","1:32.259","1:31.687","62","45","9","157","35","1","42","DE-AT-CH","4642","4654","20","419","20","417","VRS GT Endurance Series","100","0","157"
"6","73","Audi R8 LMS","59","GT3 Class","-86204","-86204","Impulse Racing 1","27","13","0","Running","-1:30.537","0","","1:32.256","1:31.169","99","117","21","153","33","0","","","","","","","","","VRS GT Endurance Series","100","0","153"
"6","73","Audi R8 LMS","59","GT3 Class","-86204","290952","Peter Zuba","27","13","0","Running","-","0","","1:32.326","1:31.169","99","73","13","153","33","1","46","Central-Eastern Europe","4983","4996","18","239","18","282","VRS GT Endurance Series","100","0","153"
"6","73","Audi R8 LMS","59","GT3 Class","-86204","295817","Marco Jager","27","13","0","Running","-","0","","1:32.138","1:31.543","51","44","8","153","33","1","42","DE-AT-CH","5824","5832","19","319","19","333","VRS GT Endurance Series","100","0","153"
"7","94","Ferrari 488 GT3","59","GT3 Class","-114221","-114221","Majella HCR Scuderia","29","12","0","Running","-1 L","0","","1:32.741","1:31.514","114","116","14","149","31","0","","","","","","","","","VRS GT Endurance Series","100","0","149"
"7","94","Ferrari 488 GT3","59","GT3 Class","-114221","247507","Chris M Bell","29","12","0","Running","-","0","","1:33.042","1:32.144","48","45","7","149","31","2","36","UK and I","2542","2572","18","287","19","353","VRS GT Endurance Series","100","0","149"
"7","94","Ferrari 488 GT3","59","GT3 Class","-114221","357401","Scott G McCracken","29","12","0","Running","-","0","","1:32.551","1:31.514","114","71","7","149","31","3","36","UK and I","2657","2704","19","364","19","398","VRS GT Endurance Series","100","0","149"
"8","73","Audi R8 LMS","59","GT3 Class","-83725","-83725","(PSRC) Pc Simulation Racing Club","13","14","0","Running","-1 L","0","","1:32.796","1:31.654","112","116","12","145","29","0","","","","","","","","","VRS GT Endurance Series","100","0","145"
"8","73","Audi R8 LMS","59","GT3 Class","-83725","285944","Diego Dacosta Blanco","13","14","0","Running","-","0","","1:32.233","1:31.654","112","27","2","145","29","3","38","Iberia","2423","2438","19","363","19","381","VRS GT Endurance Series","100","0","145"
"8","73","Audi R8 LMS","59","GT3 Class","-83725","324335","Joseba Rodriguez","13","14","0","Running","-","0","","1:32.523","1:31.842","47","44","4","145","29","1","38","Iberia","4021","4045","19","361","19","386","VRS GT Endurance Series","100","0","145"
"8","73","Audi R8 LMS","59","GT3 Class","-83725","346983","Vicente Orozco","13","14","0","Running","-","0","","1:33.381","1:32.078","37","45","6","145","29","2","38","Iberia","2351","2376","17","139","18","249","VRS GT Endurance Series","100","0","145"
"9","72","Mercedes AMG GT3","59","GT3 Class","-51517","-51517","E41 SRT - Orange","21","941","0","Running","-1 L","0","","1:32.799","1:31.694","105","116","10","141","27","0","","","","","","","","","VRS GT Endurance Series","100","0","141"
"9","72","Mercedes AMG GT3","59","GT3 Class","-51517","154163","Alejandro Gómez Zazurca","21","941","0","Running","-","0","","1:32.634","1:31.694","105","77","1","141","27","2","38","Iberia","3392","3423","20","499","20","499","VRS GT Endurance Series","100","0","141"
"9","72","Mercedes AMG GT3","59","GT3 Class","-51517","338114","Juan Carlos Martín","21","941","0","Running","-","0","","1:33.129","1:32.324","69","39","9","141","27","2","38","Iberia","3256","3272","19","360","19","356","VRS GT Endurance Series","100","0","141"
"10","94","Ferrari 488 GT3","59","GT3 Class","-32510","-32510","No Nonsense Racing #746","14","746","0","Running","-1 L","0","","1:33.072","1:31.465","14","116","24","137","25","0","","","","","","","","","VRS GT Endurance Series","100","0","137"
"10","94","Ferrari 488 GT3","59","GT3 Class","-32510","178181","Peter De Haan","14","746","0","Running","-","0","","1:33.354","1:32.655","92","30","1","137","25","3","40","Benelux","2196","2208","19","361","19","388","VRS GT Endurance Series","100","0","137"
"10","94","Ferrari 488 GT3","59","GT3 Class","-32510","227551","Marcel Slootbeek","14","746","0","Running","-","0","","1:33.249","1:32.427","60","43","9","137","25","2","40","Benelux","2736","2753","19","341","19","346","VRS GT Endurance Series","100","0","137"
"10","94","Ferrari 488 GT3","59","GT3 Class","-32510","294795","Clemet Wengen","14","746","0","Running","-","0","","1:32.709","1:31.465","14","43","14","137","25","1","43","Scandinavia","5426","5443","18","245","18","247","VRS GT Endurance Series","100","0","137"
"11","73","Audi R8 LMS","59","GT3 Class","-112877","-112877","BRO-simracing#666","10","5","0","Running","-2 L","0","","1:32.669","1:31.631","2","115","15","133","23","0","","","","","","","","","VRS GT Endurance Series","100","0","133"
"11","73","Audi R8 LMS","59","GT3 Class","-112877","325592","Nicolas Magnol","10","5","0","Running","-","0","","1:32.649","1:31.631","2","91","15","133","23","2","39","France","4050","4075","19","346","19","367","VRS GT Endurance Series","100","0","133"
"11","73","Audi R8 LMS","59","GT3 Class","-112877","349975","Denis Belin","10","5","0","Running","-","0","","1:32.743","1:32.176","66","24","0","133","23","2","39","France","2374","2381","19","375","20","443","VRS GT Endurance Series","100","0","133"
"12","73","Audi R8 LMS","59","GT3 Class","-124366","-124366","Team GB eSports","25","3","0","Running","-2 L","0","","1:33.751","1:31.768","78","115","23","129","21","0","","","","","","","","","VRS GT Endurance Series","100","0","129"
"12","73","Audi R8 LMS","59","GT3 Class","-124366","302931","David Fuller3","25","3","0","Running","-","0","","1:33.617","1:32.207","41","44","18","129","21","4","36","UK and I","1757","1780","19","354","19","322","VRS GT Endurance Series","100","0","129"
"12","73","Audi R8 LMS","59","GT3 Class","-124366","349465","George Lewis4","25","3","0","Running","-","0","","1:33.836","1:31.768","78","71","5","129","21","2","36","UK and I","3021","3057","15","368","16","465","VRS GT Endurance Series","100","0","129"
"13","72","Mercedes AMG GT3","59","GT3 Class","-86262","-86262","BRO-Simracing #7","37","129","0","Running","-2 L","0","","1:33.104","1:32.117","57","115","22","125","19","0","","","","","","","","","VRS GT Endurance Series","100","0","125"
"13","72","Mercedes AMG GT3","59","GT3 Class","-86262","284959","Romain Pelissier","37","129","0","Running","-","0","","1:33.235","1:32.129","15","71","17","125","19","2","39","France","2677","2710","15","344","15","363","VRS GT Endurance Series","100","0","125"
"13","72","Mercedes AMG GT3","59","GT3 Class","-86262","341410","Jean Claude Pelissier","37","129","0","Running","-","0","","1:32.890","1:32.117","57","44","5","125","19","2","39","France","2249","2269","14","282","15","369","VRS GT Endurance Series","100","0","125"
"14","72","Mercedes AMG GT3","59","GT3 Class","-71867","-71867","Team-R Sim-Racing Red","8","19","0","Running","-2 L","0","","1:32.599","1:31.101","4","115","22","121","17","0","","","","","","","","","VRS GT Endurance Series","100","0","121"
"14","72","Mercedes AMG GT3","59","GT3 Class","-71867","148327","Calvin Feuardent","8","19","0","Running","-","0","","1:31.887","1:31.101","4","42","6","121","17","1","39","France","5041","5043","19","384","19","394","VRS GT Endurance Series","100","0","121"
