"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.07.02 8:00 PM GMT","Watkins Glen International - Boot","VRS GT Sprint Series","2019","3","N/A","4","3295",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","94","Ferrari 488 GT3","59","GT3 Class","253559","253559","Rodrigo Lisowiski","1","1","0","Running","-00.000","21","","1:47.345","1:45.801","3","23","0","203","29","1","45","Brazil","5617","5664","25","156","25","195","VRS GT Sprint Series","50","0","203"
"2","94","Ferrari 488 GT3","59","GT3 Class","28023","28023","Pablo López","7","2","0","Running","-06.551","0","","1:47.630","1:45.897","2","23","6","196","27","1","38","Iberia","5559","5600","18","215","18","223","VRS GT Sprint Series","50","0","196"
"3","72","Mercedes AMG GT3","59","GT3 Class","321523","321523","Pascal Hoffmann","3","7","0","Running","-06.864","0","","1:47.644","1:45.864","12","23","10","189","25","1","42","DE-AT-CH","4012","4078","18","212","18","205","VRS GT Sprint Series","50","0","189"
"4","73","Audi R8 LMS","59","GT3 Class","219824","219824","Eric Galvez","2","3","0","Running","-10.116","2","","1:47.785","1:45.822","13","23","10","182","23","1","38","Iberia","5395","5425","14","281","14","273","VRS GT Sprint Series","50","0","182"
"5","72","Mercedes AMG GT3","59","GT3 Class","299393","299393","Denny Rimpl","4","11","0","Running","-15.382","0","","1:48.014","1:46.195","3","23","6","175","21","2","42","DE-AT-CH","3483","3550","18","248","18","251","VRS GT Sprint Series","50","0","175"
"6","72","Mercedes AMG GT3","59","GT3 Class","305922","305922","Andre Wlodarczyk","11","25","0","Running","-22.532","0","","1:48.325","1:46.497","2","23","7","168","19","2","42","DE-AT-CH","2683","2765","18","255","18","251","VRS GT Sprint Series","50","0","168"
"7","72","Mercedes AMG GT3","59","GT3 Class","231076","231076","Mikael Engstroem","10","5","0","Running","-25.307","0","","1:48.445","1:46.512","4","23","3","161","17","1","43","Scandinavia","4062","4101","18","246","18","261","VRS GT Sprint Series","50","0","161"
"8","72","Mercedes AMG GT3","59","GT3 Class","298788","298788","Håkan Ågren","20","9","0","Running","-29.785","0","","1:48.639","1:46.545","21","23","4","154","15","2","43","Scandinavia","3750","3790","20","400","19","358","VRS GT Sprint Series","50","0","154"
"9","73","Audi R8 LMS","59","GT3 Class","96334","96334","Álvaro Tuñón","12","8","0","Running","-30.053","0","","1:48.651","1:46.442","16","23","3","147","13","1","38","Iberia","3865","3895","18","250","18","264","VRS GT Sprint Series","50","0","147"
"10","72","Mercedes AMG GT3","59","GT3 Class","298223","298223","Michael E Gross","19","30","0","Running","-33.679","0","","1:48.809","1:46.492","21","23","4","140","11","2","42","DE-AT-CH","2489","2550","19","363","19","362","VRS GT Sprint Series","50","0","140"
"11","72","Mercedes AMG GT3","59","GT3 Class","192028","192028","Mac Miller","13","15","0","Running","-33.830","0","","1:48.816","1:46.400","13","23","7","133","9","2","19","New Jersey","3363","3393","19","365","19","348","VRS GT Sprint Series","50","0","133"
"12","72","Mercedes AMG GT3","59","GT3 Class","318489","318489","Andrea Marchesini","8","4","0","Running","-34.772","0","","1:48.857","1:46.305","2","23","9","126","7","1","41","Italy","4131","4135","18","266","18","252","VRS GT Sprint Series","50","0","126"
"13","55","BMW Z4 GT3","59","GT3 Class","365131","365131","Scott Mcfaull","18","23","0","Running","-37.910","0","","1:48.993","1:46.689","3","23","0","119","5","2","36","UK and I","2755","2788","19","364","19","385","VRS GT Sprint Series","50","0","119"
"14","73","Audi R8 LMS","59","GT3 Class","272192","272192","Toño N. Ordieres","23","12","0","Running","-42.241","0","","1:49.181","1:46.894","10","23","3","112","3","2","38","Iberia","3469","3476","19","322","19","331","VRS GT Sprint Series","50","0","112"
"15","72","Mercedes AMG GT3","59","GT3 Class","220090","220090","Víctor Aldana","21","27","0","Running","-47.487","0","","1:49.409","1:46.839","12","23","8","105","1","2","38","Iberia","2578","2603","18","232","18","229","VRS GT Sprint Series","50","0","105"
"16","72","Mercedes AMG GT3","59","GT3 Class","182566","182566","Florian Weinert","9","26","0","Running","-48.464","0","","1:49.452","1:46.599","3","23","2","98","0","2","42","DE-AT-CH","2619","2636","19","319","19","333","VRS GT Sprint Series","50","0","98"
"17","94","Ferrari 488 GT3","59","GT3 Class","373898","373898","Mateusz Tyszkiewicz","22","24","0","Running","-53.887","0","","1:49.687","1:46.953","13","23","3","91","0","3","46","Central-Eastern Europe","2721","2729","16","403","16","406","VRS GT Sprint Series","50","0","91"
"18","72","Mercedes AMG GT3","59","GT3 Class","216269","216269","Juanjo Rodriguez","25","20","0","Running","-54.101","0","","1:49.696","1:47.045","13","23","0","84","0","2","38","Iberia","2890","2887","20","499","20","499","VRS GT Sprint Series","50","0","84"
